value,dbpedia-2015,dbpedia-2022-matched,dbpedia-2025,relative_change
nodes/http://dbpedia.org/resource/Municipal_Borough_of_Edmonton/rank_shift,2.000000,-14.000000,-1318.000000,-660.000000
nodes/http://dbpedia.org/resource/North_West_England/rank_shift,-2.000000,-531.000000,-768.000000,-383.000000
nodes/http://dbpedia.org/resource/Urban_area/rank_shift,-4.000000,-162.000000,-1166.000000,-290.500000
nodes/http://dbpedia.org/resource/Alex_Guarnaschelli/rank_shift,11.000000,-82.000000,-2403.000000,-219.454545
nodes/http://dbpedia.org/resource/Manhattan/rank_weighted,103.000000,1873.000000,21926.000000,211.873786
nodes/http://dbpedia.org/resource/Poland/rank_shift,9.000000,-239.000000,-1517.000000,-169.555556
"nodes/http://dbpedia.org/resource/John_Morrison,_1st_Baron_Margadale/rank_shift",-9.000000,615.000000,1438.000000,160.777778
nodes/http://dbpedia.org/resource/Walter_Grant_Morden/rank_shift,21.000000,2034.000000,3229.000000,152.761905
nodes/http://dbpedia.org/resource/Benjamin_Garnet_Lampard-Vachell/rank_shift,21.000000,1908.000000,3077.000000,145.523810
nodes/http://dbpedia.org/resource/Courtenay_Mansel/rank_shift,21.000000,1462.000000,2946.000000,139.285714
nodes/http://dbpedia.org/resource/Donald_Finnemore/rank_shift,21.000000,2318.000000,2709.000000,128.000000
nodes/http://dbpedia.org/resource/Harry_Brittain/rank_shift,21.000000,2447.000000,2663.000000,125.809524
nodes/http://dbpedia.org/resource/Manhattan/rank_unweighted,175.000000,942.000000,22058.000000,125.045714
nodes/http://dbpedia.org/resource/Berbalang/rank_shift,-27.000000,-2695.000000,-3398.000000,-124.851852
nodes/http://dbpedia.org/resource/Catoblepas_(Dungeons_&_Dragons)/rank_shift,-27.000000,-2681.000000,-3393.000000,-124.666667
nodes/http://dbpedia.org/resource/Oblivion_moss/rank_shift,-27.000000,-2681.000000,-3364.000000,-123.592593
nodes/http://dbpedia.org/resource/Hugo_Rutherford/rank_shift,21.000000,43.000000,2414.000000,113.952381
nodes/http://dbpedia.org/resource/Neville_Dixey/rank_shift,21.000000,2609.000000,2376.000000,112.142857
nodes/http://dbpedia.org/resource/Ireland/rank_shift,5.000000,-75.000000,-547.000000,-110.400000
nodes/http://dbpedia.org/resource/George_Gillett_(politician)/rank_shift,21.000000,1465.000000,2327.000000,109.809524
nodes/http://dbpedia.org/resource/Massachusetts/rank_weighted,9.000000,388.000000,969.000000,106.666667
nodes/http://dbpedia.org/resource/Beholder_(Dungeons_&_Dragons)/rank_shift,-27.000000,-2681.000000,2833.000000,105.925926
nodes/http://dbpedia.org/resource/Harvard_University/rank_weighted,16.000000,1348.000000,1709.000000,105.812500
nodes/http://dbpedia.org/resource/William_Lane-Mitchell/rank_shift,21.000000,1886.000000,2138.000000,100.809524
nodes/http://dbpedia.org/resource/Connecticut/rank_weighted,49.000000,2384.000000,4983.000000,100.693878
nodes/http://dbpedia.org/resource/Elizabeth_II/rank_unweighted,7.000000,6.000000,677.000000,95.714286
nodes/http://dbpedia.org/resource/English_language/rank_unweighted,5.000000,13.000000,471.000000,93.200000
"nodes/http://dbpedia.org/resource/Washington,_D.C./rank_weighted",8.000000,74.000000,753.000000,93.125000
nodes/http://dbpedia.org/resource/Council–manager_government/rank_shift,-19.000000,-422.000000,-1739.000000,-90.526316
nodes/http://dbpedia.org/resource/Square_dance/rank_unweighted,256.000000,438.000000,23190.000000,89.585938
nodes/http://dbpedia.org/resource/Andrew_Jackson/rank_unweighted,179.000000,3725.000000,15431.000000,85.206704
nodes/http://dbpedia.org/resource/Wiltshire/rank_shift,5.000000,-429.000000,-417.000000,-84.400000
nodes/http://dbpedia.org/resource/Electoral_district_of_Fitzroy_(Queensland)/rank_shift,18.000000,-1123.000000,-1494.000000,-84.000000
nodes/http://dbpedia.org/resource/English_language/rank_weighted,18.000000,48.000000,1522.000000,83.555556
nodes/http://dbpedia.org/resource/English_language/rank_shift,-13.000000,-35.000000,-1051.000000,-79.846154
nodes/http://dbpedia.org/resource/Kenyon_Vaughan-Morgan/rank_shift,21.000000,1183.000000,1629.000000,76.571429
nodes/http://dbpedia.org/resource/Bromley/rank_shift,5.000000,-581.000000,-377.000000,-76.400000
"nodes/http://dbpedia.org/resource/Washington,_D.C./rank_unweighted",8.000000,48.000000,618.000000,76.250000
nodes/http://dbpedia.org/resource/Andrew_Jackson/rank_weighted,213.000000,5405.000000,16053.000000,74.366197
nodes/http://dbpedia.org/resource/New_York_City/rank_weighted,6.000000,88.000000,452.000000,74.333333
nodes/http://dbpedia.org/resource/Ogg/rank_unweighted,78.000000,94.000000,5667.000000,71.653846
nodes/http://dbpedia.org/resource/List_of_U.S._states_by_date_of_admission_to_the_Union/rank_weighted,27.000000,154.000000,1878.000000,68.555556
nodes/http://dbpedia.org/resource/Arthur_Vernon_Davies/rank_shift,21.000000,1640.000000,1373.000000,64.380952
nodes/http://dbpedia.org/resource/Elizabeth_II/rank_weighted,15.000000,17.000000,975.000000,64.000000
nodes/http://dbpedia.org/resource/Massachusetts/rank_unweighted,14.000000,447.000000,909.000000,63.928571
nodes/http://dbpedia.org/resource/Nottinghamshire/rank_shift,-5.000000,-43.000000,-324.000000,-63.800000
nodes/http://dbpedia.org/resource/Dorset/rank_weighted,29.000000,1159.000000,1879.000000,63.793103
nodes/http://dbpedia.org/resource/Pacific_Ocean/rank_shift,42.000000,-132.000000,-2616.000000,-63.285714
nodes/http://dbpedia.org/resource/Edwin_Bayliss/rank_shift,21.000000,1750.000000,1329.000000,62.285714
nodes/http://dbpedia.org/resource/George_Washington/rank_unweighted,225.000000,430.000000,13604.000000,59.462222
nodes/http://dbpedia.org/resource/Hugh_Moulton/rank_shift,17.000000,165.000000,1008.000000,58.294118
nodes/http://dbpedia.org/resource/Virginia/rank_weighted,78.000000,635.000000,4615.000000,58.166667
nodes/http://dbpedia.org/resource/Henry_Charleton/rank_shift,-11.000000,-1043.000000,625.000000,57.818182
"nodes/http://dbpedia.org/resource/Hagerstown,_Maryland/rank_shift",-14.000000,-851.000000,791.000000,57.500000
nodes/http://dbpedia.org/resource/Irish_Sea/rank_shift,-13.000000,-1767.000000,712.000000,55.769231
nodes/http://dbpedia.org/resource/Frank_Privett/rank_shift,21.000000,721.000000,1180.000000,55.190476
nodes/http://dbpedia.org/resource/Wiltshire/rank_weighted,25.000000,872.000000,1355.000000,53.200000
nodes/http://dbpedia.org/resource/United_States/rank_unweighted,1.000000,11.000000,53.000000,52.000000
nodes/http://dbpedia.org/resource/California_State_Senate/rank_shift,-29.000000,-3456.000000,-1536.000000,-51.965517
nodes/http://dbpedia.org/resource/Canada/rank_shift,-2.000000,-12.000000,-104.000000,-51.000000
"nodes/http://dbpedia.org/resource/Albany,_New_York/rank_weighted",123.000000,5031.000000,6386.000000,50.918699
nodes/http://dbpedia.org/resource/George_Washington/rank_weighted,285.000000,950.000000,14409.000000,49.557895
nodes/http://dbpedia.org/resource/Cleveland/rank_weighted,152.000000,1171.000000,7540.000000,48.605263
nodes/http://dbpedia.org/resource/United_States/rank_weighted,1.000000,5.000000,49.000000,48.000000
nodes/http://dbpedia.org/resource/South_Dorset_(UK_Parliament_constituency)/rank_shift,-62.000000,400.000000,2912.000000,47.967742
nodes/http://dbpedia.org/resource/Electoral_district_of_Cairns/rank_shift,-15.000000,-977.000000,-702.000000,-45.800000
nodes/http://dbpedia.org/resource/Alignment_(Dungeons_&_Dragons)/rank_shift,-165.000000,-2593.000000,-7505.000000,-44.484848
nodes/http://dbpedia.org/resource/Arsenal_F.C./rank_weighted,215.000000,2197.000000,9739.000000,44.297674
nodes/http://dbpedia.org/resource/Malcolm_Turnbull/rank_unweighted,460.000000,613.000000,20717.000000,44.036957
nodes/http://dbpedia.org/resource/Ogg/rank_weighted,209.000000,415.000000,9349.000000,43.732057
nodes/http://dbpedia.org/resource/Ashley_Mitchell/rank_shift,21.000000,821.000000,927.000000,43.142857
nodes/http://dbpedia.org/resource/Actor/rank_weighted,357.000000,3480.000000,15716.000000,43.022409
nodes/http://dbpedia.org/resource/Chile/rank_weighted,192.000000,562.000000,8304.000000,42.250000
nodes/http://dbpedia.org/resource/Harvard_University/rank_unweighted,36.000000,1217.000000,1546.000000,41.944444
nodes/http://dbpedia.org/resource/Square_dance/rank_weighted,694.000000,1554.000000,29732.000000,41.841499
nodes/http://dbpedia.org/resource/Abraham_England/rank_shift,21.000000,985.000000,895.000000,41.619048
nodes/http://dbpedia.org/resource/United_States_Army/rank_weighted,131.000000,5915.000000,5491.000000,40.916031
nodes/http://dbpedia.org/resource/Queens/rank_unweighted,246.000000,1743.000000,10261.000000,40.711382
"nodes/http://dbpedia.org/resource/Providence,_Rhode_Island/rank_weighted",135.000000,5840.000000,5621.000000,40.637037
nodes/http://dbpedia.org/resource/Canada/rank_weighted,24.000000,91.000000,973.000000,39.541667
nodes/http://dbpedia.org/resource/United_Kingdom/rank_weighted,2.000000,3.000000,81.000000,39.500000
"nodes/http://dbpedia.org/resource/Stanley_Buckmaster,_1st_Viscount_Buckmaster/rank_shift",44.000000,1358.000000,1778.000000,39.409091
nodes/http://dbpedia.org/resource/Viscount_Simon/rank_shift,-55.000000,1465.000000,2088.000000,38.963636
nodes/http://dbpedia.org/resource/Electoral_district_of_Mirani/rank_shift,18.000000,-139.000000,-683.000000,-38.944444
nodes/http://dbpedia.org/resource/Queens/rank_weighted,278.000000,4259.000000,11004.000000,38.582734
nodes/http://dbpedia.org/resource/Canada/rank_unweighted,22.000000,79.000000,869.000000,38.500000
"nodes/http://dbpedia.org/resource/John_Gretton,_1st_Baron_Gretton/rank_weighted",759.000000,1278.000000,29556.000000,37.940711
nodes/http://dbpedia.org/resource/England/rank_weighted,3.000000,7.000000,116.000000,37.666667
nodes/http://dbpedia.org/resource/Samuel_Gluckstein/rank_shift,21.000000,645.000000,812.000000,37.666667
nodes/http://dbpedia.org/resource/Connecticut/rank_unweighted,120.000000,1608.000000,4632.000000,37.600000
nodes/http://dbpedia.org/resource/Lake_Erie/rank_unweighted,589.000000,474.000000,22553.000000,37.290323
"nodes/http://dbpedia.org/resource/Sir_John_Leigh,_1st_Baronet/rank_weighted",795.000000,1710.000000,29614.000000,36.250314
nodes/http://dbpedia.org/resource/Elizabeth_II/rank_shift,-8.000000,-11.000000,-298.000000,-36.250000
nodes/http://dbpedia.org/resource/Brooklyn/rank_weighted,60.000000,3372.000000,2206.000000,35.766667
nodes/http://dbpedia.org/resource/England/rank_unweighted,4.000000,7.000000,146.000000,35.500000
nodes/http://dbpedia.org/resource/Penelope_Wensley/rank_shift,-115.000000,-1625.000000,-4180.000000,-35.347826
nodes/http://dbpedia.org/resource/Thomas_Lowth/rank_shift,21.000000,770.000000,761.000000,35.238095
nodes/http://dbpedia.org/resource/Yellow/rank_unweighted,93.000000,1470.000000,3342.000000,34.935484
nodes/http://dbpedia.org/resource/Demonym/rank_unweighted,136.000000,1192.000000,4840.000000,34.588235
nodes/http://dbpedia.org/resource/Dorset/rank_unweighted,45.000000,748.000000,1588.000000,34.288889
nodes/http://dbpedia.org/resource/PBS/rank_shift,26.000000,-894.000000,-864.000000,-34.230769
nodes/http://dbpedia.org/resource/County_council/rank_unweighted,419.000000,697.000000,14707.000000,34.100239
nodes/http://dbpedia.org/resource/Yorkshire_County_Cricket_Club/rank_shift,-88.000000,164.000000,-3081.000000,-34.011364
